latin_name,english_name,french_name,url,light_from,light_to,bloom_start,bloom_end,soil_humidity_min,soil_humidity_max,min_height,max_height,size,stratification_detail,stratification_duration,sowing_depth,sowing_period,sharing_priority,harvesting_start,harvesting_end,harvesting_indicator,harvesting_mean,seed_head,remove_non_seed_material,viability_test,seed_storage,one_cultivar,packaging_measure,dormancy,seed_preparation,hyperlink,envelope_label_link,harvesting_video_link,seed_picture_link,pods_seed_head_picture_link,seed_storage_label_info,notes,germinate_easy,rock_garden,rain_garden,pond_edge,shoreline_rehab,container_suitable,ground_cover,garden_edge,woodland_garden,wind_break_hedge,erosion_control
Sanguinaria canadensis,Bloodroot ,Sanguinaire du Canada,https://www.prairiemoon.com/sanguinaria-canadensis-bloodroot-prairie-moon-nursery.html,Part Shade,Full Shade,4,5,Medium,,6,9,"0.5-0.75’ tall, 0.25-0.5’ wide",,,¼”,,1 - Give in priority,6,6,Pods are open,"Open the pod, remove seeds",Head,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ¼ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=SANGUINARIA%20CANADENSIS,https://docs.google.com/document/d/1Hl5ewt-9aMhjnx5oWqCgVeZdyGexmIxU88Uxqtz5rU0/edit?usp=sharing,https://youtu.be/cT0ags7NoCA?si=MVN6vWHhaTV7Jp3P,https://drive.google.com/file/d/1YTX3kwoGOK5I94QsH84mVHSqauh_vsMr/view?usp=sharing,https://drive.google.com/file/d/1Ui6JOo_cypQZZZRjHgDmU4xRUVj7FI2x/view?usp=sharing,Keep seeds moist in fridge,,,,,,,,,,,,
Sanguisorba canadensis,Canada burnet,Sanguisorbe du Canada,https://www.prairiemoon.com/sanguisorba-canadensis-american-burnet-prairie-moon-nursery.html,Full Sun,,8,10,Medium,,48,72,"4-6’ tall, 2’ wide",,,Surface,,1 - Give in priority,10,10,"Seeds are dark and dry, and easily fall off when you gently pull them off",Use hand to detach from main stem,Pod,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ⅛ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=SANGUISORBA%20CANADENSIS,https://docs.google.com/document/d/113p-FLWlDX0jdZpwx5VSYUtsAKOQfnOfHf7RL-wjWgQ/edit?usp=sharing,,,,,,,,,,,,,,,,
Schizachyrium scoparium,Little bluestem grass,Barbon à balais,https://www.prairiemoon.com/schizachyrium-scoparium-little-bluestem-prairie-moon-nursery.html,Full Sun,Part Shade,7,10,Dry,Medium,24,48,"2-4’ tall, 1.5-2’ wide",,,¼”,Direct sow in late spring in warm soil,1 - Give in priority,10,10,Seeds easily fall off when you gently pull them off,Use hand to detach from main stem,Head,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ⅛ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=SCHIZACHYRIUM%20SCOPARIUM,https://docs.google.com/document/d/1UzbffIi1toDMwBp-XyzDgLUhRPDw_3EmY3pYS0ag8yk/edit?usp=sharing,,,,,,1,,,,,,,,,,
Scirpus atrovirens,Dark-green bulrush ,Scirpe noirâtre,https://www.prairiemoon.com/scirpus-atrovirens-dark-green-bulrush-prairie-moon-nursery.html,Full Sun,Part Shade,6,7,Medium,Wet,48,60,"4-5’ tall, 3-4’ wide",Cold moist 60d,60,Surface,,1 - Give in priority,8,9,"Seeds are dark and dry, and easily fall off when you gently pull them off",Use hand to detach from main stem,Head,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ¼ teaspoon,,but best planted outdoors in fall,https://wildplantsfromseed.com/html/speciesdata.php?name=SCIRPUS%20ATROVIRENS,https://docs.google.com/document/d/1zQrFAoLUrWuA-361s3tPMIrbNrhVviVQCP_CJl5ZfV0/edit,,,,,,,,1,1,1,,,,,,
Scirpus cyperinus,Common woolly bulrush,Scirpe souchet,https://www.prairiemoon.com/scirpus-cyperinus-wool-grass-prairie-moon-nursery.html,Full Sun,,8,10,Medium,Wet,,5,"5’’ tall, 1.5-2’ wide",Cold moist 60d,60,Surface,,1 - Give in priority,8,9,Seeds easily fall off when you gently pull them off,Use hand to detach from main stem,Head,,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,but best planted outdoors in fall,https://wildplantsfromseed.com/html/speciesdata.php?name=SCIRPUS%20CYPERINUS,https://docs.google.com/document/d/16CZ7QIbU8w-7KFIPP1JrGZHI7i8pj1gsyq9-qkfRPqQ/edit,,,,,,,,1,1,,,,,,,
Scirpus pendulus,Hanging bulrush ,Scirpe pendant,https://www.prairiemoon.com/scirpus-pendulus-rufous-bulrush-prairie-moon-nursery.html,Full Sun,Part Shade,5,7,Medium,Wet,24,48,2-4’ tall,Cold moist 60d,60,Surface,,1 - Give in priority,7,8,Seeds easily fall off when you gently pull them off,Use hand to detach from main stem,Head,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ¼ teaspoon,,but best planted outdoors in fall,,https://docs.google.com/document/d/1jd1aI1M74S1jG95YJb7uuS17faT3pFtKpX-0Yn1f5PY/edit?usp=sharing,,,,,,,,,,,,,,,,
Scrophularia lanceolata,Lance-leaved figwort ,Scrofulaire lancéolée,https://www.prairiemoon.com/scrophularia-lanceolata-early-figwort-prairie-moon-nursery.html,Part Shade,Full Shade,5,7,Dry,Medium,,60,"5’ tall, 2-3’ wide",Cold moist 60d,60,Surface,,"2 - Give us seeds in second priority, after donating priority 1 seeds first",8,9,"Pods are brown and crisp and starting to open, seeds are dark and tiny stem attaching to the main stem is brown. Seeds easily fall off pod when shaken, and little stem connecting the pod to the main stem is brown (not green)","Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Pod,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ¼ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=SCROPHULARIA%20LANCEOLATA,https://docs.google.com/document/d/1Y5PiYIqPa1rA5E8ptfiNQEDANDFT0BB7zicBwsEHpwY/edit?usp=sharing,https://www.youtube.com/watch?v=SoWpmiRPYUY,,,,,,,,,,,,,,,
Scrophularia marilandica,Eastern/Carpenter's figwort,Scrofulaire du Maryland,https://www.prairiemoon.com/scrophularia-marilandica-late-figwort-prairie-moon-nursery.html,Full Sun,Full Shade,7,10,Medium,,,72,"6’ tall, 2-3’ wide",Cold moist 60d,60,Surface,,1 - Give in priority,11,11,"Pods are brown and crisp and starting to open, seeds are dark and tiny stem attaching to the main stem is brown. Seeds easily fall off pod when shaken, and little stem connecting the pod to the main stem is brown (not green)","Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Pod,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ¼ teaspoon,,,,https://docs.google.com/document/d/1lME4J2Vy1zpfv25YYesvZWc0mBZAWmBttVFXrlu5b8U/edit?usp=sharing,https://www.youtube.com/watch?v=SoWpmiRPYUY,,,,,,,,,,,,,,,
Scutellaria lateriflora,Mad-dog skullcap ,Scutellaire latériflore,https://www.prairiemoon.com/scutellaria-lateriflora-mad-dog-skullcap-prairie-moon-nursery.html,Full Sun,Part Shade,7,9,Medium,Wet,24,36,"2-3’ tall, 1.5-2.5’ wide",Cold moist 60d,60,Surface,,1 - Give in priority,8,10,"Pods are brown, seeds are dark, and crisp, and little stem connecting the pod to the main stem is brown (not green)","Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Pod,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ¼ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=SCUTELLARIA%20LATERIFLORA,https://docs.google.com/document/d/1C7EAsTm4MJd94QQ3wRPmJNWNna4elj6MtV4yy6MD4D8/edit?fbclid=IwAR15SKLgOwvPNXSZ-gwiWNfLwhP1g9UV5fK1N_L3Qi6rDwF2dprgSXSUoyg,,,,,,,,,,,,,,,,
Senna hebecarpa,Wild senna,Casse à fruits velus,https://www.prairiemoon.com/senna-hebecarpa-wild-senna-prairie-moon-nursery.html,Full Sun,Part Shade,7,8,Medium,,,60,"5’ tall, 2-2.5’ wide",Cold moist 10d,10,Just below surface,,1 - Give in priority,9,10,"Pods are brown, seeds are dark, and crisp, and little stem connecting the pod to the main stem is brown (not green)","Open the pod, remove seeds",Pod,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ¼ teaspoon,,Needs scarification if started in the fridge. Remove seeds from pods.,,https://docs.google.com/document/d/1UUD8voE7-_rSw1I8h0kgH6OqFtjlOMX8sJJ8Re79HOo/edit#,,,,,,,,,,,,,,,,
Silphium perfoliatum,,,,,,,,,,,,,,,,,3 - Do not donate,,0,,,,,,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,,,,,,,,,,,,,,,,,,,
Sisyrinchium angustifolium,Narrow-leaved blue-eyed grass,Bermudienne à feuilles étroites,https://www.prairiemoon.com/sisyrinchium-angustifolium-stout-blue-eyed-grass-prairie-moon-nursery.html,Full Sun,Part Shade,5,6,Medium,,12,24,"1-2’ tall, 0.5-1’ wide",Cold moist 60d,60,⅛”,,1 - Give in priority,7,7,"Pods are brown and crisp and starting to open, seeds are dark and tiny stem attaching to the main stem is brown. Seeds easily fall off pod when shaken, and little stem connecting the pod to the main stem is brown (not green)","Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Pod,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,,,https://docs.google.com/document/d/1eUBRaAGQZXhLd0WRYFTHIk7tA9CEpSXz9KGzk98oZdM/edit?usp=sharing,https://youtube.com/shorts/MTqDDn6MFFo?si=0dlUBafFbUB3nYwR,,,,,1,,,,,,,,,,
Sisyrinchium montanum,Strict blue-eyed-grass ,Bermudienne montagnarde,https://www.minnesotawildflowers.info/flower/mountain-blue-eyed-grass,Full Sun,,5,6,Medium,,6,30,"0.5-1.5’ tall, 1-2’ wide",Cold moist 45d,45,⅛”,,1 - Give in priority,7,8,"Pods are brown and crisp and starting to open, seeds are dark and tiny stem attaching to the main stem is brown. Seeds easily fall off pod when shaken, and little stem connecting the pod to the main stem is brown (not green)","Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Pod,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",Six (6) seeds (eyeball),,,https://wildplantsfromseed.com/html/speciesdata.php?name=SISYRINCHIUM%20MONTANUM,https://docs.google.com/document/d/1VxvYlEMZDFU_9ukSjuZ8tKqiDcSjfh9JRNTwBijfGfU/edit?sharingaction=ownershiptransfer#heading=h.j4cx18dju41v,https://youtube.com/shorts/MTqDDn6MFFo?si=0dlUBafFbUB3nYwR,,,,Same way to harvest as Sisyrinchium angustifolium,,,,,,,,,,,
Solidago altissima,Tall goldenrod ,Verge d'or haute,https://plants.ces.ncsu.edu/plants/solidago-altissima/,Full Sun,Part Shade,9,10,Dry,Medium,24,72,2-6’ tall,,,,,1 - Give in priority,11,12,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ⅛ teaspoon,,,,https://docs.google.com/document/d/1TPGAMuM7PT0uuRHydFMgWN2ZYWVMSPVFEtayzoldajg/edit,,,,,,,,,,,,,,,,
Solidago bicolor,White goldenrod ,Verge d'or bicolore,https://plants.ces.ncsu.edu/plants/solidago-bicolor/,Full Sun,Part Shade,8,10,Dry,Medium,12,36,"1-3’ tall, 1-2’ wide",,,Surface,,1 - Give in priority,11,12,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ⅛ teaspoon,,,,https://docs.google.com/document/d/1-p15XHGQpL3auEh308H76N0zhSWXUkQLOSLqX10iox0/edit?usp=sharing,,,,,,1,,,,,,,,,,
Solidago caesia,Blue-stemmed goldenrod,Verge d'or bleuâtre,https://www.prairiemoon.com/solidago-caesia-blue-stemmed-goldenrod-prairie-moon-nursery.html,Full Sun,Part Shade,8,9,Dry,Medium,18,36,"1.5-3’ tall, 1.5-3’ wide",Cold moist 60d,60,Surface,,"2 - Give us seeds in second priority, after donating priority 1 seeds first",9,10,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",Six (6) seeds (eyeball),,,https://wildplantsfromseed.com/html/speciesdata.php?name=SOLIDAGO%20CAESIA,https://docs.google.com/document/d/1ylLLm4R_MMKa3BZ4RJy6ThjOM3P6sYaDs66vUN0l2_8/edit?usp=sharing,,,,,,1,,,,,,,,,,
Solidago canadensis,Canada goldenrod ,Verge d'or du Canada,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=277473,Full Sun,,8,10,Medium,,48,60,"4-5’ tall, 4-5’ wide",,,Surface,,"2 - Give us seeds in second priority, after donating priority 1 seeds first",9,10,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",,,,https://wildplantsfromseed.com/html/speciesdata.php?name=SOLIDAGO%20CANADENSIS,https://docs.google.com/document/d/1Ejy_3JL0JjI4Zo2Kt9h9NR6mqa0xLyojQEJ2BWE09Lw/edit,https://www.youtube.com/watch?v=KtHWvR-z4Gw,,,,,,,,,,,,,,,
Solidago flexicaulis,Zigzag goldenrod,Verge d'or à tige zigzagante,https://www.prairiemoon.com/solidago-flexicaulis-zig-zag-goldenrod-prairie-moon-nursery.html,Part Shade,Full Shade,7,9,Medium,,12,36,"1-3’ tall, 1-3’ wide",Cold moist 60d,60,Surface,,1 - Give in priority,10,10,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded 1/32 teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=SOLIDAGO%20FLEXICAULIS,https://docs.google.com/document/d/1tXSIEyHwTcdk34ysAXQVKoWZA_nCpDtw165x0wSNG2w/edit?usp=sharing,,,,,,1,,,,,,,,,,
Solidago gigantea,Giant goldenrod,Verge d’or géante,https://www.prairiemoon.com/solidago-gigantea-late-goldenrod-prairie-moon-nursery.html,Full Sun,Full Shade,8,9,Medium,Wet,72,72,6’ tall,,,,,1 - Give in priority,10,10,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,,,https://docs.google.com/document/d/1YfKuiRTr4tVHpkI7JkaVSciRY3pGtBkef6RX813yDN8/edit,,,,,,,,,,,,,,,,
Solidago hispida,Hairy goldenrod ,Verge d'or hispide,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=k500,Full Sun,,7,9,Dry,Medium,12,36,"1-3’ tall, 0.5-1’ wide",,,,,1 - Give in priority,9,10,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=SOLIDAGO%20HISPIDA,https://docs.google.com/document/d/1jN5tnVL7CIoA3NlohYjEJdPnSqOYWJxMsRzXINEh4rg/edit?usp=sharing,,,,,,,,,,,,,,,,
Solidago juncea,Early goldenrod,Verge d'or jonciforme,https://www.prairiemoon.com/solidago-juncea-early-goldenrod-prairie-moon-nursery.html,Full Sun,Part Shade,7,8,Dry,Medium,24,48,"2-4’ tall, 2-3’ wide",Cold moist 60d,60,Surface,,"2 - Give us seeds in second priority, after donating priority 1 seeds first",9,9,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded 1/32 teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=SOLIDAGO%20JUNCEA,https://docs.google.com/document/d/1HEQfzvCMvHBuSpbflB2-xhlaYEuUWNk9bvfprhT4NwU/edit?usp=sharing,,,,,,,,,,,1,,,,,
Solidago macrophylla,Large-leaved goldenrod,Verge d'or à grandes feuilles,https://gobotany.nativeplanttrust.org/species/solidago/macrophylla/,Full Sun,Part Shade,8,9,Dry,Medium,,,,,,Surface,,1 - Give in priority,10,10,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,,,https://docs.google.com/document/d/1GDubtMeItqZislF02koNUv8932xmOh-XjvbfJM_hUsQ/edit?usp=sharing,,,,,,,,,,,1,,,,,
Solidago nemoralis,Grey-stemmed goldenrod,Verge d'or des bois,https://www.prairiemoon.com/solidago-nemoralis-old-field-goldenrod-prairie-moon-nursery.html,Full Sun,Part Shade,8,9,Dry,Medium,6,24,"0.5-2’ tall, 0.5-2’ wide",Cold moist 60d,60,Surface,,"2 - Give us seeds in second priority, after donating priority 1 seeds first",10,10,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ¼ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=SOLIDAGO%20NEMORALIS,https://docs.google.com/document/d/1EqOdSjGKWBIiQqev9ZTZ8bPggJAD5R8AUE2jMw1t4B0/edit?usp=sharing,,,,,,,,,,,1,,,,,
Solidago ohioensis,Ohio goldenrod,Verge d'or d'Ohio,,Full Sun,,7,9,Medium,Wet,,36,"3’ tall, 1.5’ wide",Cold moist 60d,60,Surface,,1 - Give in priority,11,11,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded 1/32 teaspoon,,,,https://docs.google.com/document/d/1Ccr5Od2Gr3KkuqSMcPbjpJi9GA7WjzA-4i0Z0UY55Pg/edit,,,,,,,,,,,,,,,,
Solidago ontarioensis,Ontario goldenrod ,Verge d'or d'Ontario,"https://uwaterloo.ca/astereae-lab/research/goldenrods/classification-and-illustrations/solidago-simplex/var-ontarioensis#:~:text=Solidago%20ontarioensis%20%28Ringius%29%20Semple%20%26%20Peirson%20is%20native,%28Ringius%29%20Ringius%20by%20Semple%20%26%20Cook%20%282006%20FNA%29.",Full Sun,,7,8,Dry,Medium,,,,,,,,1 - Give in priority,9,10,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",A dozen (12) seeds (eyeball),,,,https://docs.google.com/document/d/1N7UU9JZQc-V2JgXOqoqDenwKS_-2JB2iY9ZjUPWbpKo/edit?usp=sharing,,,,,,,,,,,,,,,,
Solidago patula,Spreading goldenrod ,Verge d'or étalée,https://www.prairiemoon.com/solidago-patula-swamp-goldenrod-prairie-moon-nursery.html,Full Sun,Full Shade,8,10,Medium,,24,54,"2-4.5’ tall,2’ wide",Cold moist 60d,60,Surface,Cool soil,1 - Give in priority,10,10,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",A dozen (12) seeds (eyeball),,,,https://docs.google.com/document/d/1PoheqXSifbqOWc2KBZQqPr6uic0yeXW2BfR2bxxNSWA/edit,,,,,,,,,,,1,,,,,
Solidago ptarmicoides,Upland white goldenrod,Verge d'or faux-ptarmica,https://www.prairiemoon.com/solidago-ptarmicoides-upland-white-aster-prairie-moon-nursery.html,Full Sun,,8,10,Dry,Medium,12,24,"1-2’ tall, 1-2’ wide",Cold moist 60d,60,Just below surface,,1 - Give in priority,10,10,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",A dozen (12) seeds (eyeball),,,https://wildplantsfromseed.com/html/speciesdata.php?name=SOLIDAGO%20PTARMICOIDES,https://docs.google.com/document/d/1e0dI29qMDqPUe4jA-WujYDfQxL7e3nldIxNL9dxdc1M/edit?usp=sharing,https://www.youtube.com/watch?v=fja_6kQO-Es,,,,,,1,,,,1,,,,,
Solidago puberula,Downy goldenrod ,Verge d'or pubérulente,https://gobotany.nativeplanttrust.org/species/solidago/puberula/,Full Sun,Part Shade,8,10,Dry,Medium,12,36,"1-3’ tall, 1-2’ wide",Cold moist 60d,60,Surface,,1 - Give in priority,10,12,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ⅛ teaspoon,,,,https://docs.google.com/document/d/1PVSr6dvHIVRkVTS8YFTqllLzh6IVLPlRKkfdqu4LoTA/edit?usp=sharing,,,,,,,,,,,1,,,,,
Solidago rigida,Stiff goldenrod,Verge d'or rigide,https://www.prairiemoon.com/solidago-rigida-stiff-goldenrod-prairie-moon-nursery.html,Full Sun,Part Shade,8,9,Medium,,36,60,"3-5’ tall, 1.5-2.5’ wide",Cold moist 60d,60,Surface,,"2 - Give us seeds in second priority, after donating priority 1 seeds first",10,12,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",A dozen (12) seeds (eyeball),,,,https://docs.google.com/document/d/1XSQwrbPxNSqRXDxi1QApEb1enVvYq1_bd1Dt6HRPL2g/edit?usp=sharing,https://youtube.com/shorts/TVC_MfjYtVg?si=iJ-wpbNVza7ZteZW,,,,,1,,,,,,,,,,
Solidago rugosa,Rough-stemmed goldenrod ,Verge d'or rugueuse,https://www.prairiemoon.com/solidago-rugosa-wrinkle-leaf-goldenrod,Full Sun,Part Shade,7,10,Medium,Wet,,36,"3’ tall, 2-3’ wide",Cold moist 60d,60,Surface,,"2 - Give us seeds in second priority, after donating priority 1 seeds first",10,10,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",Six (6) seeds (eyeball),,,https://wildplantsfromseed.com/html/speciesdata.php?name=SOLIDAGO%20RUGOSA,https://docs.google.com/document/d/1vPTiiKXxpQE9P8KnOJhgInb8XztF3aaZlkALohCjlhk/edit,,,,,,,,,,,1,,,,,
Solidago squarrosa,Squarrose goldenrod ,Verge d'or squarreuse,https://gobotany.nativeplanttrust.org/species/solidago/squarrosa/,Full Sun,,8,10,Dry,Medium,,60,5’ tall,Cold moist 60d,60,Surface,,1 - Give in priority,10,11,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=SOLIDAGO%20SQUARROSA,https://docs.google.com/document/d/1vc5MqjuVrb6l-5B7asQvWRYWmM8yvJDAkGyeQ9KKSsI/edit,,,,,,,,,,,1,,,,,
Solidago uliginosa,Bog goldenrod ,Verge d'or des marais,https://www.prairiemoon.com/solidago-uliginosa-bog-goldenrod-prairie-moon-nursery.html,Full Sun,Part Shade,8,9,Medium,Wet,24,60,"2-5’ tall, 2-4’ wide",Cold moist 60d,60,Surface,,1 - Give in priority,9,10,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Keep moisten and cool, in a ziploc bag, in the fridge, with the seeds in soil, paper towel or coffee filter, until donation","No, you can donate without knowing the source as there are only straight species",Six (6) seeds (eyeball),,,https://wildplantsfromseed.com/html/speciesdata.php?name=SOLIDAGO%20ULIGINOSA,https://docs.google.com/document/d/1r08_w8jqzVjqUfC5WtxtZ-eUKNEhPVUnAmuOlP-4GZk/edit?usp=sharing,,,,,,,,,,,,,,,,
